,filename,xmlid,au-name,title,au-birth,au-death,au-gender,au-ids,first-ed,title-ids,sizeCat,canonicity,time-slot,numwords,language
17,rd0302,FR0302,"Aimard, Gustave ",Les Trappeurs d'Arkansas : ELTeC edition,1818,1883,M,viaf:9841962,1858,viaf:309322317,medium,medium,T1,90166,fra
18,rd0052,FR0052,"Maupassant, Guy de ",Bel-Ami : ELTeC edition,1850,1893,M,viaf:29537765,1885,viaf:174771837,long,medium,T3,111187,fra
19,rd0047,FR0047,"Loti, Pierre ",Mon frère Yves : ELTeC edition,1850,1923,M,viaf:89440078,1883,viaf:294701732,medium,medium,T3,73698,fra
20,rd0570,FR0570,"Balzac, Honoré de ",Le cousin Pons : ELTeC edition,1799,1850,M,viaf:29529595,1847,viaf:174988989,long,medium,T1,111047,fra
21,rd0658,FR0658,"Ohnet, Georges ",Le Marchand de Poison : ELTeC edition,1848,1918,M,viaf:66497284,1892,viaf:308106335,medium,medium,T3,50561,fra
22,rd0607,FR0607,"Féval, Paul Henri Corentin ",Les Errants de nuit : ELTeC edition,1816,1887,M,viaf:17222447,1857,viaf:unavailable,long,medium,T1,103086,fra
23,rd0409,FR0409,"Malot, Hector ",Romain Kalbris : ELTeC edition,1830,1907,M,viaf:49228546,1869,viaf:312349317,medium,medium,T2,70236,fra
24,rv0775,FR0775,"Rolland, Romain ","Jean-Christophe, tome 5 : La foire sur la place : ELTeC edition",1866,1944,M,viaf:71397100,1908,viaf:312469772,medium,medium,T4,69465,fra
25,rd0012,FR0012,"Ponson du Terrail, Pierre Alexis ",La fée d’Auteuil : ELTeC edition,1829,1871,M,viaf:17228199,1868,viaf:missing,medium,medium,T2,64938,fra
26,rv0780,FR0780,"Rolland, Romain ","Jean-Christophe, tome 10 : La nouvelle journée : ELTeC edition",1866,1944,M,viaf:71397100,1912,viaf:312469774,medium,medium,T4,59882,fra
27,rd0311,FR0311,"Aimard, Gustave",Belle rivière : ELTeC edition,1818,1883,M,viaf:9841962,1874,viaf:309355943,long,medium,T2,139255,fra
28,rv0397,FR0397,"Le Rouge, Gustave ","La Conspiration des Milliardaires, III: Le Régiment des hypnotiseurs : ELTeC edition",1867,1938,M,viaf:7392910,1900,viaf:unavailable,medium,medium,T4,76669,fra
29,rd0657,FR0657,"Ohnet, Georges ",L'Âme de Pierre : ELTeC edition,1848,1918,M,viaf:66497284,1890,viaf:309283895,medium,medium,T3,53382,fra
30,rd0086,FR0086,"Verne, Jules ",Voyages et aventures du Capitaine Hatteras : ELTeC edition,1828,1905,M,viaf:76323989,1866,viaf:176496719,long,medium,T2,144174,fra
31,rd0041,FR0041,"Flaubert, Gustave ",L'Éducation sentimentale : ELTeC edition,1821,1880,M,viaf:9846192,1869,viaf:180462896,long,medium,T2,149810,fra
32,rd1155,FR1155,"Gaboriau, Émile ",Le crime d'Orcival : ELTeC edition,1832,1873,M,viaf:100177491,1866,viaf:312348929,long,medium,T2,127326,fra
33,rd0347,FR0347,"Fleuriot, Zénaïde ",Un enfant gâté : ELTeC edition,1829,1890,F,viaf:41872490,1877,viaf:309349545,short,medium,T2,35076,fra
34,rd0615,FR0615,"Féval, Paul Henri Corentin ",le Loup blanc : ELTeC edition,1816,1887,M,viaf:17222447,1843,viaf:312363135,medium,medium,T1,80151,fra
35,rd0562,FR0562,"Balzac, Honoré de ",Albert Savarus : ELTeC edition,1799,1850,M,viaf:29529595,1842,viaf:174178728,short,medium,T1,42271,fra
