corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-fra	FRA03701_Sand	FRA03701	Sand, George [Amantine Lucile Aurore Dupin]	Nanon	1804	1876	F	viaf:46766944 wikidata:Q3816	1872	1872	NA	2005	Bibliothèque électronique du Québec (BEQ)	viaf:204615801 wikidata:missing	fr	101919	NA	autodiegetic	long	high	T2
ELTeC-fra	FRA01402_Fleuriot	FRA01402	Fleuriot, Zénaïde	En congé	1829	1890	F	viaf:41872490 wikidata:Q3086433	1874	1874	NA	1875	Bibliothèque électronique du Québec (BEQ)	oclc:561075297 viaf:unavailable wikidata:missing	fr	38021	NA	autodiegetic	short	low	T2
ELTeC-fra	FRA02203_Gouraud	FRA02203	Gouraud, Julie [Louise d'Aulnay]	Les Filles du professeur	1810	1891	M	viaf:31987653 wikidata:Q18115130	1876	1876	NA	1876	Bibliothèque électronique du Québec (BEQ)	viaf:unavailable wikidata:missing	fr	45477	NA	heterodiegetic	short	low	T2
ELTeC-fra	FRA06401_Chandeneux	FRA06401	Chandeneux, Claire de [Bérenger, Louise Lucienne Emma]	Les Ménages militaires	1836	1881	F	viaf:54272906 wikidata:Q2975144	1876	1876	2014	1876-1878	Gallica (BnF)	viaf:missing wikidata:missing	fr	157157	NA	heterodiegetic	long	low	T2
ELTeC-fra	FRA01401_Fleuriot	FRA01401	Fleuriot, Zénaïde	Un enfant gâté	1829	1890	F	viaf:41872490 wikidata:Q3086433	1877	1877	NA	1881	Bibliothèque électronique du Québec (BEQ)	viaf:missing wikidata:missing	fr	35076	NA	heterodiegetic	short	low	T2
ELTeC-fra	FRA02303_Greville	FRA02303	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand]	Ariadne	1842	1902	F	viaf:49258322 wikidata:Q2266038	1878	1878	NA	1879	Bibliothèque électronique du Québec (BEQ)	viaf:missing wikidata:missing	fr	52698	NA	heterodiegetic	short	low	T2
ELTeC-fra	FRA03903_Stolz	FRA03903	Stolz, Madame de [Fanny de Bégon]	Le Secret de Laurent	1820	1898	F	viaf:19850120 wikidata:Q3275360	1878	1878	NA	NA	Bibliothèque électronique du Québec (BEQ)	viaf:unavailable wikidata:missing	fr	49150	NA	heterodiegetic	short	low	T2
ELTeC-fra	FRA04001_Verne	FRA04001	Verne, Jules	Un capitaine de quinze ans	1828	1905	M	viaf:76323989 wikidata:Q33977	1878	1878	2008	NA	Bibliothèque électronique du Québec (BEQ)	viaf:183081330 wikidata:Q59784918	fr	125179	adventure	heterodiegetic	long	high	T2
ELTeC-fra	FRA02602_Malot	FRA02602	Malot, Hector	Sans famille	1830	1907	M	viaf:49228546 wikidata:Q315003	1878	1878	NA	1880	Bibliothèque électronique du Québec (BEQ)	viaf:186540937 wikidata:Q1570068	fr	123735	NA	autodiegetic	long	high	T2
ELTeC-fra	FRA02302_Greville	FRA02302	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand]	L'amie	1842	1902	F	viaf:49258322 wikidata:Q2266038	1878	1878	NA	1878	Bibliothèque électronique du Québec (BEQ)	viaf:missing wikidata:missing	fr	56987	NA	heterodiegetic	medium	low	T2
