filename	xmlid	au-name	title	au-birth	au-death	au-gender	au-ids	copytext-yr	firsted-yr	title-ids	sizeCat	canonicity	time-slot	numwords	language
FRA01102_Dombre	FRA01102	Dombre, Roger	Folla	1859	1914	F	viaf:37053113	NA	1889	oclc:465119441 viaf:unavailable	short	low	T3	24998	fra
FRA00701_Carraud	FRA00701	Carraud, Zulma	La petite Jeanne	1796	1889	F	viaf:66529196	NA	1852	NA	medium	high	T1	50316	fra
FRA03701_Sand	FRA03701	Sand, George	Nanon	1804	1876	F	viaf:46766944	NA	1872	viaf:204615801	long	high	T2	101840	fra
FRA03201_Rachilde	FRA03201	Rachilde	La Marquise de Sade: ELTeC edition	1860	1953	F	viaf:44304153	NA	1887	NA	medium	high	T3	85847	fra
FRA03003_Ohnet	FRA03003	Ohnet, Georges	Le Marchand de Poison	1848	1918	M	viaf:66497284	NA	1892	viaf:308106335	medium	low	T3	50561	fra
FRA01501_France	FRA01501	France, Anatole	Les dieux ont soif: ELTeC edition	1844	1924	M	NA	NA	1912	NA	medium	high	T4	67177	fra
FRA02702_Maupassant	FRA02702	Maupassant, Guy de	Une Vie	1850	1893	M	viaf:29537765	NA	1883	viaf:204219240	medium	high	T3	77338	fra
FRA01303_Flaubert	FRA01303	Flaubert, Gustave	Salammbô	1821	1880	M	viaf:9846192	NA	1862	viaf:316310961	long	high	T2	105395	fra
FRA00802_Dash	FRA00802	Comtesse Dash	Le château de Pinon I: ELTeC edition	1804	1872	F	viaf:102278	NA	1843	NA	medium	low	T1	44767	fra
FRA03903_Stolz	FRA03903	Stolz, Madame de	Le Secret de Laurent	1820	1898	F	viaf:19850120 wikidata:Q3275360	NA	1878	viaf:unavailable	short	low	T2	49150	fra
FRA02901_Noailles	FRA02901	Noailles, Anna de	La nouvelle espérance	1876	1933	F	viaf:95303465	NA	1903	NA	medium	low	T4	54730	fra
FRA02303_Greville	FRA02303	Henry Gréville	Ariadne	1842	1902	F	viaf:49258322	NA	1878	NA	short	low	T2	10455	fra
FRA03902_Stolz	FRA03902	Stolz, Madame de	La Maison blanche	1820	1898	F	viaf:19850120 wikidata:Q3275360	NA	1884	viaf:unavailable	medium	low	T3	52128	fra
FRA02201_Gouraud	FRA02201	Gouraud, Julie	Quand je serai grande	1810	1891	M	viaf:31987653	NA	1888	oclc:559725443 viaf:unavailable	short	low	T3	45701	fra
FRA02301_Greville	FRA02301	Gréville, Henry	La seconde mère	1842	1902	F	viaf:49258322	NA	1888	viaf:missing	medium	low	T3	56950	fra
FRA02101_Girardin	FRA02101	Girardin, Delphine de	Marguerite, ou Deux amours	1804	1855	F	viaf:24601979	NA	1852	NA	medium	high	T1	68770	fra
FRA03801_Stern	FRA03801	Stern, Daniel	Hervé	1805	1876	F	viaf:186930001	NA	1843	NA	short	low	T1	15058	fra
FRA00201_Audoux	FRA00201	Audoux, Marguerite	Marie-Claire	1863	1937	F	viaf:71386673	NA	1910	viaf:missing	short	high	T4	35659	fra
